cell_id,date,frp_sum,frp_max,n_det,y,frp_sum_l1,n_det_l1,frp_sum_l3,n_det_l3,frp_sum_l7,n_det_l7,frp_sum_l30,frp_max_l3,frp_max_l7,frp_max_l30,n_det_l30,frp_sum_l1_l3,frp_sum_l1_l7,frp_sum_l1_l30,n_det_l1_l3,n_det_l1_l7,n_det_l1_l30,frp_sum_l3_l3,frp_sum_l3_l7,frp_sum_l3_l30,n_det_l3_l3,n_det_l3_l7,n_det_l3_l30,frp_sum_l7_l3,frp_sum_l7_l7,frp_sum_l7_l30,n_det_l7_l3,n_det_l7_l7,n_det_l7_l30
56621,2025-07-14,8.36,2.97,4,1.0,4.11,4.0,5.423333333333333,3.6666666666666665,6.321428571428576,4.142857142857143,8.04448275862069,1.9733333333333334,2.15,2.5124137931034483,4.275862068965517,6.233333333333332,6.29,7.875862068965517,3.6666666666666665,3.857142857142857,4.206896551724138,6.774444444444445,6.0147619047619045,8.186149425287356,4.333333333333333,3.7619047619047623,4.310344827586207,6.014761904761909,5.910170068027215,8.390862068965522,3.761904761904761,3.479591836734694,4.334975369458128
56621,2025-07-15,5.72,2.27,3,1.0,8.36,4.0,6.036666666666666,3.6666666666666665,6.408571428571433,4.0,8.097931034482759,2.2866666666666666,2.275714285714286,2.5220689655172412,4.275862068965517,5.423333333333332,6.321428571428571,7.806551724137932,3.6666666666666665,4.142857142857143,4.206896551724138,6.334444444444444,6.1709523809523805,8.104885057471265,4.111111111111111,3.9047619047619047,4.287356321839081,6.170952380952386,5.894183673469391,8.286477832512318,3.9047619047619038,3.595238095238096,4.310344827586207
56621,2025-07-16,4.56,2.84,4,1.0,5.72,3.0,6.063333333333333,3.6666666666666665,6.552857142857148,4.142857142857143,7.997931034482758,2.1966666666666668,2.2271428571428573,2.4765517241379307,4.275862068965517,6.036666666666665,6.408571428571428,7.860000000000001,3.6666666666666665,4.0,4.206896551724138,5.897777777777777,6.340000000000001,8.066379310344828,3.6666666666666665,4.0,4.264367816091954,6.340000000000004,6.017551020408168,8.21046798029557,3.9999999999999996,3.7142857142857144,4.295566502463054
56621,2025-07-17,5.470000000000001,2.65,3,1.0,4.56,4.0,6.213333333333334,3.6666666666666665,5.921428571428576,3.7142857142857144,7.502758620689654,2.6933333333333334,2.3742857142857146,2.4786206896551723,4.137931034482759,6.063333333333332,6.552857142857143,7.760000000000001,3.6666666666666665,4.142857142857143,4.206896551724138,5.84111111111111,6.427619047619047,8.027758620689655,3.6666666666666665,4.095238095238095,4.264367816091954,6.427619047619051,6.178571428571432,8.122980295566506,4.095238095238095,3.8775510204081636,4.280788177339902
56621,2025-07-19,7.2,2.41,5,0.0,5.470000000000001,3.0,5.25,3.3333333333333335,5.768571428571433,3.5714285714285716,7.484482758620689,2.5866666666666664,2.3785714285714286,2.498275862068965,4.137931034482759,6.213333333333331,5.921428571428572,7.264827586206897,3.6666666666666665,3.7142857142857144,4.068965517241379,6.104444444444444,6.294285714285714,7.847183908045976,3.6666666666666665,3.952380952380952,4.218390804597701,6.294285714285718,6.17836734693878,7.9850492610837485,3.952380952380952,3.897959183673469,4.246305418719212
56621,2025-07-20,3.86,1.96,2,1.0,7.2,5.0,5.743333333333333,4.0,5.86571428571429,3.7142857142857144,7.568965517241379,2.6333333333333333,2.432857142857143,2.521724137931035,4.206896551724138,5.249999999999999,5.768571428571429,7.246551724137931,3.3333333333333335,3.5714285714285716,4.068965517241379,5.842222222222222,6.080952380952381,7.642701149425287,3.555555555555556,3.8095238095238093,4.172413793103448,6.080952380952386,6.16632653061225,7.870221674876851,3.809523809523809,3.877551020408163,4.216748768472906
56621,2025-07-21,7.23,2.15,5,1.0,3.86,2.0,5.510000000000001,3.3333333333333335,5.611428571428576,3.5714285714285716,7.326896551724138,2.3400000000000003,2.35,2.471724137931034,4.137931034482759,5.743333333333332,5.865714285714286,7.3310344827586205,4.0,3.7142857142857144,4.137931034482759,5.735555555555556,5.851904761904761,7.49971264367816,3.6666666666666665,3.6666666666666665,4.149425287356322,5.851904761904766,6.161224489795923,7.77815270935961,3.666666666666666,3.8775510204081636,4.19704433497537
56621,2025-07-22,8.16,2.5,6,1.0,7.23,5.0,6.096666666666667,4.0,6.057142857142861,3.7142857142857144,7.137241379310345,2.1733333333333333,2.4642857142857144,2.456896551724138,4.103448275862069,5.509999999999999,5.611428571428571,7.0889655172413795,3.3333333333333335,3.5714285714285716,4.068965517241379,5.501111111111111,5.748571428571428,7.441091954022988,3.555555555555556,3.619047619047619,4.149425287356322,5.7485714285714336,6.0642857142857185,7.665738916256162,3.6190476190476186,3.8367346938775517,4.177339901477833
56621,2025-07-23,7.34,2.32,4,1.0,8.16,6.0,6.416666666666667,4.333333333333333,6.028571428571433,4.0,7.0151724137931035,2.203333333333333,2.3971428571428572,2.4499999999999997,4.103448275862069,6.096666666666667,6.057142857142857,6.899310344827587,4.0,3.7142857142857144,4.0344827586206895,5.783333333333334,5.844761904761904,7.325344827586207,3.777777777777778,3.666666666666667,4.137931034482759,5.844761904761909,6.026530612244903,7.536133004926113,3.6666666666666665,3.7755102040816326,4.152709359605911
56621,2025-07-24,5.14,2.33,3,1.0,7.34,4.0,7.576666666666667,5.0,6.260000000000004,4.142857142857143,7.020344827586207,2.3233333333333333,2.404285714285714,2.4468965517241377,4.103448275862069,6.416666666666667,6.028571428571429,6.777241379310345,4.333333333333333,4.0,4.0344827586206895,6.007777777777778,5.89904761904762,7.140747126436781,3.888888888888889,3.761904761904762,4.103448275862069,5.899047619047622,5.972244897959188,7.381453201970447,3.7619047619047614,3.775510204081633,4.12807881773399
